"Year","metric","priority_group","sdi_cat","ASR","lower_CI","upper_CI"
1991,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle_low",5.69783405404168,4.0926616736869,11.364174409452
1991,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",5.77223484959781,5.63478007634257,5.92210646059807
1991,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",0.695140825541041,0.0508016572857719,3.78897633706359
1991,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle_low",5.674720401113,3.39492240356893,16.9773872989994
1991,"Attributable_Deaths","Critical","low",0.264295059125585,0.241360411183061,0.291900805843693
1991,"Attributable_Deaths","Critical","middle_high",0.0538501087980405,2.36856209259995e-05,0.926298846845803
1991,"Attributable_Deaths","Critical","middle_low",0.234919227791134,0.0225605087272952,3.86432008275874
1991,"Attributable_Deaths","High","low",0.359519392737097,0.321987229660209,0.407476629351106
1991,"Attributable_Deaths","High","middle_high",0.147589598128678,0.000307019539568456,2.04894673879506
1991,"Attributable_Deaths","High","middle_low",0.241729527817805,0.00438832275001672,8.15582623809668
1991,"Attributable_Deaths","Medium","low",0.109478330658129,0.0871996528709237,0.150864297940564
1991,"Attributable_Deaths","Medium","middle_high",0.0239807118952816,2.07785833344165e-28,2.80742467198851
1991,"Attributable_Deaths","Medium","middle_low",0.14990997264767,5.53942152264445e-07,12.086037847358
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",67.7492437075906,67.4363203635325,68.0657676051501
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",7.5151883740808,5.74952758048106,9.77523677997267
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","middle_low",39.2706067603487,35.5950094631505,44.5850721610595
1992,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",67.7003559020265,67.3079035685466,68.0986471462257
1992,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_high",14.3739010946654,11.0932860890056,18.6579119215662
1992,"Associated_DALYs (Disability-Adjusted Life Years)","High","middle_low",29.5724843460118,25.96105344459,36.2101249159778
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",128.032395645345,127.389586516114,128.686273861922
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",12.367477761889,8.2341592696984,18.2325296972304
1992,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","middle_low",120.656047468888,109.18183506845,137.500909134183
1992,"Associated_Deaths","Critical","low",1.8731178029172,1.81250616387914,1.93780488377755
1992,"Associated_Deaths","Critical","middle_high",0.297188161203789,0.0524984119284253,1.19181212837089
1992,"Associated_Deaths","Critical","middle_low",1.38341976985674,0.678260192013861,4.87108535574388
1992,"Associated_Deaths","High","low",2.105137014864,2.01398167676243,2.20522592136516
1992,"Associated_Deaths","High","middle_high",0.669632522678714,0.123711238137888,2.61772249856326
1992,"Associated_Deaths","High","middle_low",1.21487315655097,0.401550961266294,8.79353561734309
1992,"Associated_Deaths","Medium","low",2.42741925460183,2.31976222974221,2.54822107982966
1992,"Associated_Deaths","Medium","middle_high",0.441974895666505,0.0174245988931783,3.17104181120788
1992,"Associated_Deaths","Medium","middle_low",3.26163591732456,1.21233589529286,14.7447706078644
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",9.81316538853435,9.68829059721754,9.94178948951166
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle_high",1.23858348525787,0.597490324615722,2.44213378261768
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","middle_low",6.72816069253401,5.24494016091825,10.3827822604528
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",11.400349536209,11.239285922513,11.5674067384162
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle_high",2.97902789165608,1.61898310249123,5.48115270783806
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","High","middle_low",5.45166411441137,3.91646607394302,10.9944730740523
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",5.79946638162713,5.6614975598759,5.94947642405649
1992,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","middle_high",0.715588094076796,0.0620293801125809,3.61248180870433
