"Location","Year","metric","priority_group","sdi_cat","ASR","lower_CI","upper_CI"
"Afghanistan",1994,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",18.7602750233162,18.5106746825251,19.0170273120079
"Afghanistan",1994,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",15.410574102013,15.1440911590388,15.6884752216491
"Afghanistan",1994,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",7.36726712763844,7.15132293941963,7.60619096806006
"Afghanistan",1994,"Attributable_Deaths","Critical","low",0.552208694059875,0.504154704091049,0.608824674945301
"Afghanistan",1994,"Attributable_Deaths","High","low",0.519469213773591,0.453195586332915,0.605424907955399
"Afghanistan",1994,"Attributable_Deaths","Medium","low",0.14392157751014,0.107131841939467,0.217040115828404
"Afghanistan",1995,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",112.16184969927,111.585218068694,112.744852293855
"Afghanistan",1995,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",93.5609701954811,92.9326013235109,94.1994603833855
"Afghanistan",1995,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",156.968820997677,156.004385129295,157.952368542046
"Afghanistan",1995,"Associated_Deaths","Critical","low",3.22419394654415,3.10873866638576,3.34694143526985
"Afghanistan",1995,"Associated_Deaths","High","low",2.95784400923401,2.80009272821332,3.13165345942745
"Afghanistan",1995,"Associated_Deaths","Medium","low",3.10911182620208,2.93000427999161,3.31179207103089
"Afghanistan",1995,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",19.9715394825262,19.7141413036107,20.2355859345724
"Afghanistan",1995,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",14.8135148021593,14.555980084606,15.0815814651857
"Afghanistan",1995,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",6.90910793081412,6.70418381895652,7.13507185388984
"Afghanistan",1995,"Attributable_Deaths","Critical","low",0.599052149886942,0.549196472880629,0.656769750116006
"Afghanistan",1995,"Attributable_Deaths","High","low",0.512330882774421,0.446715324658607,0.596017555175357
"Afghanistan",1995,"Attributable_Deaths","Medium","low",0.13898502246699,0.102902494203902,0.207987161078623
"Afghanistan",1996,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",120.307855450125,119.708430450348,120.913245802331
"Afghanistan",1996,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",92.8407098894567,92.2182597578175,93.472577043531
"Afghanistan",1996,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",157.339089234512,156.38739144876,158.308437202216
"Afghanistan",1996,"Associated_Deaths","Critical","low",3.49985320748159,3.37978583579868,3.62672739786345
"Afghanistan",1996,"Associated_Deaths","High","low",3.00728259813732,2.84828073523208,3.18124656600852
"Afghanistan",1996,"Associated_Deaths","Medium","low",3.15204410852641,2.97232667845075,3.35356384520402
"Afghanistan",1996,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",22.8221696413791,22.5466587856187,23.1038933925934
"Afghanistan",1996,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",14.9795832928821,14.7215505730783,15.2474050384053
"Afghanistan",1996,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",6.85114164329843,6.64990011589673,7.07170265382617
"Afghanistan",1996,"Attributable_Deaths","Critical","low",0.686930465246643,0.63369996225744,0.747411711110653
"Afghanistan",1996,"Attributable_Deaths","High","low",0.530724179996259,0.463947590806673,0.614148631403232
"Afghanistan",1996,"Attributable_Deaths","Medium","low",0.139300793849034,0.103297116942458,0.205152672229944
"Afghanistan",1997,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",133.128926623327,132.499717894193,133.763742801357
"Afghanistan",1997,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",97.3391260919447,96.7076714626162,97.979382109994
"Afghanistan",1997,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",167.476113705589,166.501878965463,168.466780506106
"Afghanistan",1997,"Associated_Deaths","Critical","low",3.82353332454175,3.69883560810394,3.95461389563601
"Afghanistan",1997,"Associated_Deaths","High","low",3.13844952701184,2.9771166103088,3.3137699406335
"Afghanistan",1997,"Associated_Deaths","Medium","low",3.353167094086,3.1689709100286,3.55761890081258
"Afghanistan",1997,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",26.4817007428518,26.1855800579251,26.7836583625052
"Afghanistan",1997,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",15.8853864953458,15.622061073295,16.1578451498872
"Afghanistan",1997,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",7.238619145445,7.03330484387659,7.46177970832206
"Afghanistan",1997,"Attributable_Deaths","Critical","low",0.78451887454591,0.727938128077318,0.847842093665758
"Afghanistan",1997,"Attributable_Deaths","High","low",0.558273846834678,0.490226196479473,0.641740785452477
"Afghanistan",1997,"Attributable_Deaths","Medium","low",0.147036108821367,0.110202292985194,0.210978379854236
"Afghanistan",1998,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",147.82635799182,147.165844484627,148.492172695629
"Afghanistan",1998,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",104.36408571305,103.716982589923,105.019462779453
"Afghanistan",1998,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",183.749387561225,182.733553497301,184.78063923629
"Afghanistan",1998,"Associated_Deaths","Critical","low",4.18744664234547,4.05777461066309,4.32314478526711
"Afghanistan",1998,"Associated_Deaths","High","low",3.31293917151629,3.14857910346032,3.49045152832464
"Afghanistan",1998,"Associated_Deaths","Medium","low",3.65891143344789,3.46775740711152,3.86901123250047
"Afghanistan",1998,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",30.2010427005704,29.8863042285971,30.5212958638298
"Afghanistan",1998,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",17.101434472849,16.8309677488521,17.3804745637299
"Afghanistan",1998,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",7.81613744038481,7.60412721939737,8.04475871856665
"Afghanistan",1998,"Attributable_Deaths","Critical","low",0.882771600555873,0.823073386714182,0.948796813174938
"Afghanistan",1998,"Attributable_Deaths","High","low",0.590441438218516,0.520992912214207,0.674279441408746
"Afghanistan",1998,"Attributable_Deaths","Medium","low",0.157353503750657,0.119452374267902,0.220069134469253
"Afghanistan",1999,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",146.563562124661,145.9024359475,147.229754018007
"Afghanistan",1999,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",99.7207395848725,99.0901253412863,100.35920525727
"Afghanistan",1999,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",186.944922438995,185.928880592179,187.975501327914
"Afghanistan",1999,"Associated_Deaths","Critical","low",4.238191277782,4.10755197315152,4.37458846080803
"Afghanistan",1999,"Associated_Deaths","High","low",3.20425110762379,3.04251721590502,3.37852368929241
"Afghanistan",1999,"Associated_Deaths","Medium","low",3.75338008420114,3.55974973147528,3.96494851581495
"Afghanistan",1999,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",31.2521958624757,30.9316981850156,31.5779534895048
"Afghanistan",1999,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",16.2044210723074,15.9412236571829,16.4757646675238
"Afghanistan",1999,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",7.88592829306908,7.67478787025517,8.11266471892676
"Afghanistan",1999,"Attributable_Deaths","Critical","low",0.926134167006691,0.865043357541839,0.99323327647734
"Afghanistan",1999,"Attributable_Deaths","High","low",0.569018345005262,0.5007714840843,0.650931960068339
"Afghanistan",1999,"Attributable_Deaths","Medium","low",0.160004160644275,0.121772824505859,0.221328907391498
"Afghanistan",2000,"Associated_DALYs (Disability-Adjusted Life Years)","Critical","low",151.309325058265,150.639020203156,151.984781253378
"Afghanistan",2000,"Associated_DALYs (Disability-Adjusted Life Years)","High","low",102.912367415969,102.27196063466,103.560775059021
"Afghanistan",2000,"Associated_DALYs (Disability-Adjusted Life Years)","Medium","low",200.511780265775,199.461896509176,201.576487464899
"Afghanistan",2000,"Associated_Deaths","Critical","low",4.38551553414226,4.25280908813461,4.52407090475467
"Afghanistan",2000,"Associated_Deaths","High","low",3.33210838273049,3.16721709553551,3.5097530200673
"Afghanistan",2000,"Associated_Deaths","Medium","low",4.04534275446395,3.84428992677277,4.26464192719998
"Afghanistan",2000,"Attributable_DALYs (Disability-Adjusted Life Years)","Critical","low",32.7497395419484,32.4230516678495,33.0817663103293
"Afghanistan",2000,"Attributable_DALYs (Disability-Adjusted Life Years)","High","low",17.0108786938049,16.7412666285038,17.2887894081019
"Afghanistan",2000,"Attributable_DALYs (Disability-Adjusted Life Years)","Medium","low",8.40344403122164,8.18613842545587,8.63664839099776
"Afghanistan",2000,"Attributable_Deaths","Critical","low",0.971273487615302,0.908841794256433,1.03980539047972
"Afghanistan",2000,"Attributable_Deaths","High","low",0.601047735321389,0.530902083045899,0.685088494890425
